id;reviewId;content;score;sentiment_label;sentiment_score;PIX_Pessoa1;PIX_Pessoa2;Login/Autenticação_Pessoa1;Login/Autenticação_Pessoa2;Performance_Pessoa1;Performance_Pessoa2;Interface/Usabilidade_Pessoa1;Interface/Usabilidade_Pessoa2;Empréstimos/Crédito_Pessoa1;Empréstimos/Crédito_Pessoa2;Pagamentos/Boletos_Pessoa1;Pagamentos/Boletos_Pessoa2;Saldo/Extrato_Pessoa1;Saldo/Extrato_Pessoa2;Atendimento_Pessoa1;Atendimento_Pessoa2;Cadastro/Conta_Pessoa1;Cadastro/Conta_Pessoa2;Investimentos_Pessoa1;Investimentos_Pessoa2;Segurança_Pessoa1;Segurança_Pessoa2;Notificações_Pessoa1;Notificações_Pessoa2;Questões geográficas_Pessoa1;Questões geográficas_Pessoa2;Placas/Veículos_Pessoa1;Placas/Veículos_Pessoa2;Outros_Pessoa1;Outros_Pessoa2;Observacoes_Pessoa1;Observacoes_Pessoa2;conjunto
96;7012f418-a857-4c46-bb8d-5ddf92564f46;Dois dias que não consigo abrir o app.;2;negative;0.8133549690246582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
16;75b09ed6-79fd-4833-b5f8-0f7734a2f6a6;Ruim 👎até hoje não recebi meu cartão.;1;negative;0.94341379404068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
31;1aa715da-8bca-4ba9-b826-0c7985150427;O app não funciona;1;negative;0.7441776990890503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
159;811d5f4f-5b56-44a3-9b08-fbcb50a08996;muitos erros;1;negative;0.769813597202301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
129;4595cd73-57f6-4cee-a85b-0c7e8c714fcc;pecimo;1;negative;0.4085492193698883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
116;c6913270-48bd-4488-8598-80fd38e6f5f6;Ruim demais;1;negative;0.9516921043395996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
70;9c19f9be-924c-4e5d-bc4d-dccf1b0c8713;Não consegui mais entrar no aplicativo não sei mais o fazer porque não consigo redefinir a senha pra entrar no aplicativo gostaria de ter ajuda pra fazer isso;3;negative;0.7995517253875732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
171;9337fdee-228d-4424-a36b-838778cdb095;presica travar menos;4;negative;0.5695603489875793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;teste
175;0eecc830-5322-4586-9a79-c92c51f37e39;Não sei o que aconteceu com o aplicativo eu não consegui entrar no aplicativo;2;negative;0.6444578170776367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;teste
46;af1fd563-1b1f-4f23-abcd-543ae40ffbba;Depois da última atualização o App está travando todas as vezes quando fecho. Para utilizar novamente preciso desinstalar ou reiniciar meu celular. Preciso que vejam o que está acontecendo.;2;negative;0.7263994216918945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
67;7ee2a19e-6541-4f18-acc4-0fd7156a75b0;Não abre o aplicativo trva;1;negative;0.8400322794914246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
183;1e9a719f-b1ff-4d71-afba-a9f14cc7dd74;O app não volta e nem abri precisa reiniciar o celular pra o app abri;1;negative;0.550438642501831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;teste
166;c85f9019-9fd8-4941-9022-86eeeea1a0d1;não consigo fazer pix depois dessa última atualização por favor arrumem isso está dando erro no reconhecimento facial;1;negative;0.8993043899536133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;teste
79;efea3f23-c778-40ae-aabd-a84104af5a9e;Da última atualização pra cá meu app não funciona;5;negative;0.6304453611373901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
187;c9767313-5623-48e6-b8f9-0cf2fccefa4b;Bota a opção de persona as cores o tema do app. Ou deixa todo vermelho. Está feito. Como vou compartilhar meu Pix não tem a opção. Deixa o app melhor pelo amor de Deus;2;negative;0.8072283267974854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;teste
178;dad0390a-9dfb-4f29-9446-0664b3d22965;Boa tarde não consigo entra no app já desinstalei e já estalei de novo e nada de conseguir entra no app;1;negative;0.8105376362800598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;teste
57;5afb6dd5-0d02-4427-b602-6c59a9155862;O aplicativo está muito ruim péssimo trava não dá pra acessar não dá pra entrar na conta vê se conserta isso.;1;negative;0.9283332824707032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
153;d8860dd7-1b83-4d48-b3bc-4ea624879521;As vezes que mais preciso fazer um pix está fora do ar;3;negative;0.5931119918823242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
83;9c30fcfe-000e-46bb-a5df-46a5d624aa07;O aplicativo é um saco e toda vez que tento habilitar a funções de transferência me aparece erro 74832 e digo cadê o suporte necessário para isso? É meu dinheiro e fico totalmente a mercê de um banco e seu aplicativo horrível!;1;negative;0.9609201550483704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
69;55849d11-d884-4948-b73f-46b7765cbe1c;Banco lixo;1;negative;0.9337388277053832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
125;1bc7bdb6-a316-4ded-8d26-d7ba6d6dfd52;Tá péssimo;1;negative;0.9412646293640136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
17;ae07a29b-8a55-41de-a95e-4210239ac846;Não consigo entrar na minha conta;1;negative;0.7727315425872803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
149;fa8ec45d-b398-4fbb-b02b-ea0c0fa6fa66;Não estou conseguindo acessar a minha conta está horrível;3;negative;0.9439395070075988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
94;2e8c0876-0a05-432b-a9a6-2dfe99539124;Péssimo.;1;negative;0.9389439821243286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
66;f816ea37-493b-43e0-9a3f-92d2cfb6d73a;Ele ytrava muito tenho que ficar desestalando sempre que vou usar o APP do banco.;2;negative;0.6626929640769958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
61;8370a8a1-c25d-4772-a5f4-756eea73101f;Sistema péssimo fui ontem sair para jantar fui usar app indispensável uma vergonha como banco segunda feira conta encerrda;1;negative;0.9608795046806335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
85;4feeb5f0-512c-4cb3-aaab-58d6f8e969a3;Péssimo banco péssimo não recomendo a ninguém faz tempo que tenho a conta e até hoge nda de liberar crêdito nda;1;negative;0.938730537891388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
68;34edd4b1-34bf-413e-92e1-72cfefd03488;Péssimo tempo de reposta e fica caindo direto;1;negative;0.9376067519187928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;treino
