reviewId;content;score;negative
553fcb0e-ee07-4b4f-9e18-d164a5f28d88;banco horrível tenho é ódio;1;1
0745edad-cdb7-469d-8be1-ccd7b8f19814;E muito bom mas preciso de mais Crédito;5;1
6f794c75-1cff-4921-a23d-77cd9326dec3;🫤 meh;1;1
dc2e6193-002d-4d74-8ec8-50f51f170e42;Ruim.;3;1
4595cd73-57f6-4cee-a85b-0c7e8c714fcc;pecimo;1;1
55849d11-d884-4948-b73f-46b7765cbe1c;Banco lixo;1;1
87942b2d-8320-48db-a86c-cdf087a523b8;ótimo legal gostei;5;1
f816ea37-493b-43e0-9a3f-92d2cfb6d73a;Ele ytrava muito tenho que ficar desestalando sempre que vou usar o APP do banco.;2;1
cb8d670d-0ec3-451d-9411-3a8355e43a2c;Horrível;1;1
dd51cf42-da2c-46b1-a2f5-f8420f3e2cc1;banco lixo;1;1
344e51d9-420b-4cb6-b2f9-03f527440013;Horrível;1;1
585237d2-4986-4caf-93a1-8cbd75aacca8;Estou muito insatisfeito com esse banco;1;1
d8515e25-fe04-4194-a9ea-117eae2b32fd;Estou com problema com banco total insatisfeito pq ninguém resolve o problema;1;1
edd36579-26d7-4f45-9092-70f773f28405;boa noite a todos;5;1
14961b03-269d-4f61-80f1-1fa280ef72f1;Péssimo banco;1;1
00af05d7-45aa-4a84-938f-0fe36c97c50c;Odiei;1;1
22cc5ee6-e534-4534-8459-a8e490ae65a3;😤;1;1
3080655d-5cf5-46e1-85b8-57d3bee473a5;Já foi melhor;4;1
efccb51e-fe70-47ca-8b69-02042394e3bd;Ele está travando muito vou pagar uma conta não da trava;2;1
553c2bb4-0c85-4ef8-919b-c4bf14c4d42f;banco ladrão;1;1
5a6b6bb7-db13-4f12-a461-9ba1eef7d9e1;Horrível Precisei ligar na central e não me deram assistência;1;1
2e8c0876-0a05-432b-a9a6-2dfe99539124;Péssimo.;1;1
3e06a0ef-a004-4833-b16f-3d43fe89230a;falta transparências;2;1
ee441c3a-69c1-454e-9db0-8c6a75ac38fc;Muito ruim;1;1
9e6e9ee2-7a47-43df-91c1-f933dd15b932;Péssimo .;1;1
7e0cef3f-94d3-45d6-96eb-afd381ab51e7;Um lixo;1;1
9791751e-ddc6-4a98-9507-a411466eff4e;Pessimo;1;1
6bb99189-d85d-4098-8325-21f45693038e;não consigo entra no app santader way para abrir uma conta;4;1
1fb2ea28-af3d-493c-8e8d-d27c3451aeab;Um dos piores banco que já tive o desprazer de ter uma conta!;1;1
5d6152ee-91b9-4088-9777-c4bf07521e43;É o pior banco que não aprova ninguém no cartão de crédito nem no limite de cheque especial Santander pior banco nota zero 0000000🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮;1;1
3ef825c8-e91e-4601-a9a0-886155f2b650;péssima;1;1
36f5d1d1-7f3e-4b99-a4e4-011f2bd44e08;Muito ruim péssimo;1;1
dc66901a-e664-4c85-b7ef-89d631821d93;muito bom;5;1
