reviewId;content;score;negative;positive;neutral;PIX;Login/Autenticação;Performance;Interface/Usabilidade;Empréstimos/Crédito;Pagamentos/Boletos;Saldo/Extrato;Atendimento;Cadastro/Conta;Investimentos;Segurança;Notificações;Questões geográficas;Placas/Veículos;Tarifas/Cobranças;Outros
a5443542-0724-4fce-ab6c-e29b378323d1;Exatamente;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
d9eee916-e0c7-4c0e-a5fd-977b6839fa71;ótimo ☺️;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6bcc0625-f17d-4c1a-a437-86cd4e07073a;ótima;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
a3d313af-6be3-4e79-b787-04cecedb7b1e;muito eficiente;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
853da04c-9d53-4e02-a320-554cb7d69331;ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5f71840b-0495-4530-a9b1-01a7ff60dd0b;Muito bom;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dcd18203-c8e5-4ef8-9095-d0da0b8946f5;bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0d6fa195-19f8-40de-9959-651416ea8536;ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c467030a-1a0f-4c27-b38e-324fd7c7d764;bem dinâmica as operações através do aplicativo.;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
b46e0508-4ce6-4463-abc9-b436c0a1816e;gostei muito do atendimento e na resolução do meu problema;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1dfd342c-1371-41ed-a1ce-2fbc6f330a52;ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13c38982-6974-4fc9-a33d-aaf74ed8d665;bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45f2e050-d587-4283-8274-0cfaa3996184;Não estou gostando desse aplicativo do banco tá travando demora pra abrir tava bom agora tá muito ruim vou cancelar minha conta só passou raiva não abre;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
57c5386c-6fbb-4191-a340-434adfa38206;ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ae746ca8-ffa2-430d-ae24-eacc8f51d2e7;Nenhuma;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
f17a576d-776a-46c0-8f88-945adf83cbf6;banco Santander ótimo de usar;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66255d19-021b-47ca-b05f-e8d197a68cc9;excelente 👏;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4d87baff-44a6-40d6-a0e4-74d6958e4687;achei o app muito bom de usar mas quero cartão com limite q eu não tenho;5;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12c0c055-16bd-43d5-b7af-1a914db0cfdd;ótimo.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9a4b6263-1e75-43ce-812d-e3023165547f;fácil de usar e prático;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5d030c10-4e0c-4c2f-bb5f-2b6181036703;ótimo banco bom limite de crédito e aplicativo fácil de mexer;5;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
f1e0a4e3-be34-4d72-9b0f-adc4d8349925;muito bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8457c953-8fd1-4cde-a88a-34fbac5e1297;tudo ok 👍;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
f90b86a9-d73d-46cd-92c8-1d49a5153d40;muito bom;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aed2c206-b88d-43ee-b9d8-e177fccde1e8;Por muitas vezes trava. Como nesse momento. Tenho que fazer pagamento e.nào.consigo.;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
3b895904-0820-4949-9696-68826b246762;bom demais;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c24d1e90-a7f4-49d6-9040-7a4107741abb;legal;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
db6bd503-2ebd-4555-893f-52cc5fb731cc;ok;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8ca78827-5a2d-4cf2-a363-2831302d36f4;Bom;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
f9f769bb-b38a-4f7e-9e43-e4bc5c9c5862;ótimo app;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2290dc5b-c315-4b60-95dc-7001c2b1f589;ótimo banco;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3173d017-186a-470c-b8a9-6c394a56cfc5;excelente banco ainda não me deu problemas!;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54b91bec-17b7-4234-a698-1bef883880f5;bom de mais;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1d9ae338-909a-4ef6-985e-d5545ab0fa10;ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fbb0c7f7-d10e-4e7f-9552-9b1024afd7b4;muito bom;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
079462ab-2a80-405b-b3fb-edb3c0b720a3;excelente;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8599b3d1-621c-484d-bcc9-df2880b3d09c;muito bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
f38657ca-7b60-4830-b15c-50e97dd9f862;app muito bom e intuitivo!;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ded5a743-9008-483f-8fd5-a7a60c08712d;eu queria ter um cartão de crédito;5;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
53937fd9-fe18-478f-97e8-18011171877d;atendimento colaborador;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
90995256-5a41-4014-937e-6edf99b0cf1b;bom.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2db4b4dd-ee9f-49f0-86b9-7ed887ee98ed;muito bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
e948edf8-d20b-4519-a708-682251352bf4;excelente atendimento e responsabilidade.;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0aefb3ed-3c60-4f4f-bb81-2ac666a0d11e;Péssimo! Os boletos DDA não são excluídos após o pagamento mensal. Por conta disso fiz um pagamento em duplicidade.;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
d1f54b5f-add6-4903-ba9f-4d1e8bbd0ee6;boa;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ae9f4ca9-035c-4b74-917c-b7fe8e592371;boa;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83445841-3a3f-4faf-9e6b-5e9dda66e0e2;boa;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12b95257-9b96-4b27-b751-78bf79e7cec9;ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45e4a162-a315-4b46-aa3d-5e7352c950cf;muito bom 👍;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
efe2d0f7-d23f-4e53-805b-4499624c6fd8;parece bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c9767313-5623-48e6-b8f9-0cf2fccefa4b;Bota a opção de persona as cores o tema do app. Ou deixa todo vermelho. Está feito. Como vou compartilhar meu Pix não tem a opção. Deixa o app melhor pelo amor de Deus;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
a7ca086e-e3fc-40ba-a2cb-b21935310d44;maravilhoso;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1d2b7e24-0ea6-4343-9767-eb4f93ca0843;excelente;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bab8dba0-83e3-499c-9ca2-5828a16844de;prática fácil de mexer;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2b6c23a7-1354-422a-8114-242618126d19;otima;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ae08430e-98cc-4891-8068-28b5cb00b672;app adoroo e os atendentes do banco sao maravilhosos;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
d3f95c53-c841-4930-8c98-491b1350bb7c;ótimo app;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
b5d7fbe3-ed01-4660-a0da-bc67da43743a;o branco para cobrar imposto;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
e572396f-4c17-42e5-9af7-60fcd2a2908e;amo os funcionários desse banco;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
a1af95aa-fa7c-4205-ba10-5208b681c16a;Ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bfbd734a-0d9b-4bf1-8c2b-ee675e59a18c;Bom app;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
e4f3de74-136d-4398-abbb-22e5d8f0e7a6;muito bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4910fc95-72f4-4ce8-b6ce-2c9deb768f5d;Todas as vezes q preciso entrar no meu banco tenho q reiniciar o aparelho. Não sei o porque disso pois antes não era assim. Será do próprio aparelho ou do aplicativo ?;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
87f800ff-13c4-4252-baca-97f0cf69314f;O aplicativo não está funcionando só fica dizendo que a senha expirou e o aplicativo nem abre.;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
62f6be3d-9239-44ce-b231-165774e812a0;excelente;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
f163c7fb-977c-4b32-8720-c349f2c3c566;Não fecha. Que saco;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2c698800-bc57-468b-9716-9e8fa8b98427;top;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bffa989b-a9e1-47eb-8e3e-873580318783;por q o APP tá horrível de abri;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
54f05d25-1abb-4e78-a70a-cb8041a690a2;Olá Pessoal uns dos melhores Banco do🇧🇷👑🥰🌎💲🍓🤝;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3e20a934-f93d-4eb9-aada-c8e75c6d16a9;muito bom;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
f6416ceb-83a2-4f2e-b801-fe98aa0f8927;E bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4abb6b08-bb05-436e-9c6b-088674672d3e;Excelente!;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5b272989-74e2-4d98-b1b4-d1358114c666;praticidade;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
a58b2c1a-7032-4145-bb78-06da50624519;ótimo aplicativo;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
32d83e4b-173e-40e4-b685-239abba40c31;ótimo;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46710b67-669e-42ef-bd15-a1f1911155eb;👍;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1b90a994-30cc-426a-8b34-3389bd8b9b22;muito bom;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
